"","trainPres","bio1","bio5","bio6"
"181",1,16.7,26.2,6.5
"269",1,13.5,25.2,3.7
"647",1,14.2,33.5,0.3
"644",1,14,34.2,-0.6
"223",1,17.6,31.5,5.8
"1075",0,16.4,35.5,2.7
"529",1,17.2,31.8,4.9
"77",1,12.8,30.2,-0.1
"26",1,18.3,29.7,7.9
"745",1,17,30.8,5.4
"1052",0,16.1,35.8,1.8
"254",1,17.1,27.6,6.8
"681",1,14.6,35.2,-0.2
"973",1,15,29.4,2.6
"821",1,16.5,34.4,3
"547",1,12.6,26.9,1.6
"619",1,12.9,25.3,3.4
"233",1,16.9,29.6,5.2
"367",1,17.3,28,7.2
"515",1,13.1,23.1,4
"473",1,14.3,31.1,1.8
"475",1,17.3,32,4.9
"810",1,17.6,28.1,7.1
"1065",0,16.5,33.2,3.9
"88",1,15.6,26.2,6.1
"387",1,16.7,32.2,3.7
"166",1,18.1,29.2,7.5
"1006",0,13.4,22.9,4.7
"757",1,17.6,33.6,4.7
"714",1,16.1,32.4,2.9
"284",1,17.8,30,6.2
"835",1,13.4,32.2,-0.8
"453",1,13.5,28.7,2.7
"99",1,17,28.5,6.4
"698",1,17.8,30.3,6.1
"374",1,15.6,26.2,6.1
"119",1,16.8,25.8,7.6
"449",1,17.4,31.3,5.5
"707",1,16.9,24.2,8.7
"480",1,14,33.2,0.1
"302",1,15.5,27,5.7
"232",1,11.7,28.4,-0.7
"597",1,17.2,31.8,4.9
"917",1,17.6,33.6,4.7
"956",1,17.6,30.8,5.8
"939",1,17.4,30.4,5.9
"219",1,17.1,26.8,7.5
"259",1,16.8,32.4,4
"557",1,16.5,31.3,4.7
"710",1,15.9,29.5,4.7
"14",1,16.3,35.4,2.3
"288",1,17.3,28,7.2
"979",1,14.5,33.4,0.4
"299",1,17.5,30.1,6.4
"1038",0,13.3,31.8,0
"608",1,15.6,28.1,5.3
"320",1,14.2,23.2,5.6
"794",1,14.2,33.6,-0.4
"832",1,18,32.6,5.2
"540",1,14.9,31,2.4
"147",1,18,32.6,5.2
"215",1,17.2,30.3,5.6
"673",1,17.6,31.3,5.7
"802",1,17.7,30.7,6.2
"782",1,17.6,31.4,5.6
"716",1,17.6,31.4,5.6
"531",1,17.6,28.9,6.6
"766",1,17.1,27.9,7.5
"629",1,17.7,27.9,7.8
"128",1,16.9,24.4,8.5
"194",1,12.6,29.8,-0.6
"65",1,13.8,30.1,2.6
"829",1,16.9,24.4,8.5
"666",1,16.3,27.8,6.3
"904",1,17.6,33.6,4.7
"494",1,13.9,30.6,1.8
"534",1,17.3,27.6,7.3
"924",1,15.5,30.8,3.6
"163",1,16.8,32.4,4
"820",1,17.8,30.3,6.1
"68",1,17.8,31.7,5.8
"79",1,17.6,30.8,5.8
"667",1,17.9,30.9,6.5
"662",1,18.7,38.2,2.7
"974",1,17.6,30.8,5.8
"699",1,14.5,26.8,3.8
"813",1,17.7,38,2.2
"266",1,16.6,30.9,4.3
"725",1,13.5,28.7,2.7
"471",1,17.5,29.4,6.6
"55",1,17.9,30.9,6.5
"226",1,15.9,29.1,4.6
"722",1,14,30.9,2.5
"948",1,18.2,34.5,4.7
"549",1,14.1,24.7,3.6
"144",1,17.6,30.9,5.4
"331",1,17.9,29.4,7.5
"182",1,14.3,26.8,4.2
"1028",0,13.7,33.2,-1.5
"849",1,17.6,29.4,6.7
"661",1,15.5,27,5.7
"786",1,17.6,33.6,4.7
"19",1,15.7,25.7,5.6
"360",1,17.8,30,6.2
"807",1,17.9,30.9,6.5
"389",1,17.4,31.6,5.1
"871",1,13.9,27.7,2.8
"578",1,17.9,32,5.8
"407",1,15.7,33.6,1.1
"196",1,13.4,22.5,4.6
"252",1,17.5,31.8,5.5
"103",1,18,30.3,7
"555",1,17.4,31.6,5.1
"612",1,16.2,29.7,5.2
"364",1,16,30.7,3.8
"654",1,15.4,28.7,4.1
"1005",0,16.4,35.7,1.5
"966",1,17.2,31.8,4.9
"392",1,17.3,28,7.2
"674",1,17.6,31.3,5.7
"311",1,17.1,27.5,8
"63",1,13.7,23.8,4
"711",1,17.6,30.8,5.8
"893",1,13.8,24.3,3.7
"370",1,17.4,31.6,5.1
"461",1,13.5,21.7,6
"104",1,17.3,30,5.9
"543",1,17.3,27.3,8.3
"445",1,17.8,31.7,5.8
"476",1,17.7,31.3,5.9
"670",1,14.1,25.7,4.5
"750",1,15.6,33.2,2.2
"650",1,13.7,26.3,3.1
"907",1,13.2,26.4,3.1
"926",1,15.5,33,2.3
"863",1,17.7,30.4,6
"36",1,17,36.5,1.6
"694",1,17.8,30,6.3
"809",1,17.6,31.4,5.6
"500",1,16.9,36.6,2.3
"741",1,12.6,24.3,2.3
"95",1,16.7,25.8,7.4
"842",1,14.3,32.3,0.1
"595",1,16.4,29.5,5.3
"267",1,16.2,29.7,5.2
"1077",0,15.1,34.8,0.3
"100",1,17.5,29.8,5.8
"727",1,16.9,24.4,8.5
"165",1,15.4,27.7,4.6
"141",1,15.6,26.2,6.1
"989",1,13.9,24,4.1
"171",1,13.9,32.1,0.1
"906",1,15.3,30.7,3.2
"899",1,16.9,24.4,8.5
"1068",0,15,31,3.1
"257",1,16.8,26.1,6.9
"671",1,14.9,23.3,6.5
"398",1,13.7,25.7,3.3
"938",1,17.7,31,5.8
"834",1,17.6,30.8,5.8
"1002",0,16.7,36.3,2.3
"981",1,17.8,30,6.2
"826",1,15.1,29.5,3
"685",1,13.7,27.9,2.3
"1003",0,12.6,32.9,-1.9
"657",1,17.8,30,6.3
"406",1,18.3,31.8,5.8
"546",1,16.8,26.4,6.9
"67",1,15.2,26,5
"74",1,17.3,27.1,7.6
"958",1,15.5,30.8,3.6
"251",1,17.2,26.3,8
"485",1,17.6,33.6,4.7
"768",1,18.2,31.5,6.1
"41",1,17.3,32.3,4.7
"610",1,14.6,23.6,6
"980",1,17.8,30,6.2
"870",1,15.5,30.8,3.6
"572",1,18,30.3,7
"617",1,17.8,30,6.2
"29",1,17.5,27.1,8.5
"394",1,16.1,31.6,3.5
"450",1,14.4,30.2,2.6
"912",1,13.8,31.6,0
"209",1,17.3,28,7.2
"164",1,17.2,30.5,5.4
"787",1,17.6,33.6,4.7
"207",1,17.3,32.3,4.7
"669",1,18,32.6,5.2
"304",1,16.7,36.7,2.3
"285",1,17.3,28,7.2
"955",1,13.7,23.5,4.4
"192",1,17.9,30.9,6.5
"827",1,17,26.2,7.4
"567",1,13.5,25.2,3.7
"796",1,17.6,31.4,5.6
"850",1,15.5,33,2.3
"411",1,16.3,25.7,7.3
"613",1,16.6,31.2,4.3
"864",1,18,32.2,5.6
"427",1,17.2,34.9,3.4
"35",1,16.9,29.5,5.9
"571",1,16.1,32.4,2.9
"728",1,13.3,25,3.5
"914",1,18,32.6,5.2
"172",1,14.4,32.5,2.3
"21",1,17.7,29.6,6.4
"771",1,13.9,30.6,1.8
"372",1,17.3,28,7.2
"490",1,16.9,26.9,7
"15",1,16.9,25.4,7.3
"535",1,14.3,31.1,1.8
"856",1,16.1,32.4,2.9
"507",1,16.8,24.9,7.6
"627",1,16.8,32.4,4
"241",1,17.1,27.6,6.8
"439",1,18.2,34.5,4.7
"22",1,15.6,25.1,6.4
"397",1,17.3,28,7.2
"186",1,17.8,31.7,5.8
"442",1,17.5,32.1,5.3
"286",1,17.3,28,7.2
"574",1,15.1,30.3,2.6
"425",1,14.4,33.4,1
"1085",0,16.1,34.6,2.1
"440",1,17.8,27.2,8.7
"748",1,16.5,35.3,2.7
"583",1,18.1,28.3,8.5
"505",1,13.8,24.3,3.7
"988",1,16.9,29.5,5.9
"1008",0,18.2,28.8,8.4
"591",1,17.6,30.3,6.4
"934",1,16.9,26.2,7.1
"883",1,15.5,30.8,3.6
"106",1,13.9,24.2,3.9
"296",1,17.2,29.3,6.4
"458",1,16.9,25.4,7.3
"274",1,17.7,27.9,7.8
"303",1,16.8,26.1,6.9
"343",1,16.6,30.9,4.3
"273",1,13.8,23.7,4.4
"896",1,13.2,22,5.2
"770",1,14.3,31.1,1.8
"25",1,13.5,27.4,2.4
"967",1,18,32.6,5.2
"1074",0,16.2,28.2,5.5
"101",1,17,26,7.8
"329",1,16.9,25.9,7.4
"658",1,17.6,31.4,5.6
"198",1,17.2,29.3,6.4
"845",1,16.3,28.1,6
"805",1,13.9,32.7,0.3
"443",1,14.7,25,4.3
"1034",0,14.8,36,-0.3
"451",1,14.5,30.9,2.5
"293",1,17.6,31.5,5.8
"648",1,14.3,31.1,1.8
"469",1,17.6,30.3,6.4
"1071",0,13.2,30.5,-0.2
"204",1,12.9,26.2,2.6
"10",1,17.7,30.3,6.3
"279",1,17.3,28,7.2
"240",1,14,33.2,0.1
"430",1,13.5,28.7,2.7
"841",1,16.9,29.6,5.2
"417",1,17,26.4,7.5
"631",1,17.5,30.1,6.4
"424",1,17.6,30.8,5.8
"72",1,17.3,28.4,7
"943",1,17.6,33.6,4.7
"322",1,17.3,27.6,7.3
"599",1,13.9,21.8,6.7
"280",1,13.7,32.7,0.3
"552",1,17.3,28,7.2
"30",1,13.8,25,3.6
"686",1,17.8,30,6.3
"57",1,13,24,4.1
"758",1,16.9,26.2,7.1
"418",1,14.1,25.1,4.7
"822",1,13.9,24.4,3.9
"160",1,17,28.5,6.4
"622",1,14.3,31.1,1.8
"16",1,15.6,33.2,2.2
"749",1,17.7,29,6.6
"321",1,15.5,26.8,5.4
"105",1,14.9,29.4,3.3
"945",1,13.3,24.5,3.9
"795",1,13.5,33.4,-0.1
"537",1,14.5,34.3,0.2
"585",1,12.6,26.9,1.6
"380",1,17.9,30.9,6.5
"153",1,16.8,32.4,4
"586",1,16.5,27.6,6.4
"289",1,17.6,30.8,5.8
"44",1,16.3,28.1,6
"929",1,17.6,33.6,4.7
"496",1,18.1,30.8,6.8
"265",1,14.9,34.3,-0.1
