,species,score1,score2,score3,score4,lat,lon,geometry,WWF_MHTNAM-ecoregion,ECO_NAME-ecoregion
24,Eumeces elegans,0.8637566137566141,0.8981481481481479,0.505291005291005,0.572751322751323,28.0507945619048,119.391271995238,POINT (119.391271995238 28.0507945619048),Tropical and Subtropical Moist Broadleaf Forests,Jian Nan Subtropical Evergreen Forests
25,Formica perpilosa,0.681818181818182,0.75702479338843,0.752066115702479,0.6900826446280991,36.4873136199095,-110.231106692308,POINT (-110.231106692308 36.4873136199095),Deserts and Xeric Shrublands,Colorado Plateau
26,Glossina pallidipes,0.9431960049937579,0.9775280898876401,0.9769038701622971,0.9753433208489392,-8.9426019031339,34.644185031339,POINT (34.644185031339 -8.9426019031339),"Tropical and Subtropical Grasslands, Savannas and Shrublands",Eastern Miombo Woodlands
27,Hemachatus haemachatus,0.5956164383561651,0.641643835616438,0.681095890410959,0.609315068493151,-27.6245692557377,28.611590157376998,POINT (28.611590157377 -27.6245692557377),Montane Grasslands and Shrublands,Highveld Grasslands
28,Hyla walkeri,0.9163793103448281,0.9215517241379308,0.906896551724138,0.9155172413793109,16.6517253827113,-92.51121378234129,POINT (-92.51121378234129 16.6517253827113),Tropical and Subtropical Coniferous Forests,Central American Pine-Oak Forests
29,Laudakia stellio,0.774205202312139,0.7839595375722541,0.783236994219653,0.784320809248555,33.6621143324453,32.8397374167328,POINT (32.8397374167328 33.6621143324453),,
30,Lepidophyma flavimaculatum,0.677800172761301,0.77742585660812,0.540167002591419,0.6685862366829829,15.3781038363588,-89.4958978699503,POINT (-89.4958978699503 15.3781038363588),Tropical and Subtropical Moist Broadleaf Forests,Central American Atlantic Moist Forests
31,Linepithema humile,0.9332015810276679,0.9197628458498021,0.7826086956521741,0.933794466403162,33.964449893037894,-107.137147444984,POINT (-107.137147444984 33.96444989303789),Temperate Conifer Forests,Arizona-New Mexico Mountains
32,Liolaemus bibronii,0.690879382055853,0.757427213309566,0.6914735591206179,0.6971182412358881,-39.4255848412439,-69.9956397184943,POINT (-69.9956397184943 -39.4255848412439),"Temperate Grasslands, Savannas and Shrublands",Patagonian Steppe
33,Liolaemus boulengeri,0.6277665995975861,0.678739101274312,0.606304493628437,0.7196512407780009,-42.9933589041096,-68.9180306267123,POINT (-68.91803062671229 -42.9933589041096),"Temperate Grasslands, Savannas and Shrublands",Patagonian Steppe
34,Liolaemus cf elongatus,0.82443746729461,0.838042909471481,0.8160648874934592,0.8377812663526949,-38.7221178221477,-70.4619704010067,POINT (-70.4619704010067 -38.7221178221477),"Temperate Grasslands, Savannas and Shrublands",Patagonian Steppe
35,Liolaemus cuyanus,0.8076923076923079,0.8076923076923079,0.8076923076923079,0.8076923076923079,-30.9822492777778,-67.5584265,POINT (-67.5584265 -30.9822492777778),Montane Grasslands and Shrublands,High Monte
36,Liolaemus darwinii,0.856160616061606,0.856160616061606,0.789053905390539,0.8160066006600658,-34.0166449887218,-68.06897543984961,POINT (-68.06897543984961 -34.0166449887218),"Temperate Grasslands, Savannas and Shrublands",Low Monte
37,Liolaemus fitzingerii,0.4833333333333329,0.5333333333333329,0.36111111111111105,0.48611111111111105,-45.687140928571395,-68.6060513333333,POINT (-68.6060513333333 -45.6871409285714),"Temperate Grasslands, Savannas and Shrublands",Patagonian Steppe
38,Liolaemus irregularis,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,-24.1932005,-66.0472025,POINT (-66.0472025 -24.1932005),Montane Grasslands and Shrublands,Central Andean Puna
39,Liolaemus kingii,0.7222222222222221,0.764444444444444,0.7622222222222221,0.775555555555556,-47.306496443299,-67.8115863608247,POINT (-67.81158636082471 -47.306496443299),"Temperate Grasslands, Savannas and Shrublands",Patagonian Steppe
40,Liolaemus kriegi,0.714772727272727,0.7034090909090911,0.669318181818182,0.765909090909091,-38.7203211620112,-68.2508498100559,POINT (-68.2508498100559 -38.7203211620112),"Temperate Grasslands, Savannas and Shrublands",Low Monte
41,Liolaemus laurenti,0.8076923076923079,0.8076923076923079,0.8076923076923079,0.8461538461538459,-29.981077166666697,-67.3533774333333,POINT (-67.35337743333331 -29.9810771666667),Montane Grasslands and Shrublands,High Monte
42,Liolaemus melanops,0.6674679487179489,0.6482371794871801,0.4767628205128211,0.603365384615385,-36.1006651065574,-57.285281614754105,POINT (-57.2852816147541 -36.1006651065574),,
43,Liolaemus multimaculatus,0.8782051282051279,0.826923076923077,0.7820512820512819,0.9038461538461541,-37.62925709375,-58.872253359375,POINT (-58.872253359375 -37.62925709375),"Temperate Grasslands, Savannas and Shrublands",Humid Pampas
44,Liolaemus olongasta,0.662222222222222,0.6844444444444441,0.666666666666667,0.7488888888888892,-30.235869516128997,-68.52482816129029,POINT (-68.52482816129029 -30.235869516129),Montane Grasslands and Shrublands,High Monte
45,Liolaemus petrophilus,0.703947368421053,0.703947368421053,0.7434210526315791,0.6348684210526321,-41.723690109375,-67.813143921875,POINT (-67.813143921875 -41.723690109375),"Temperate Grasslands, Savannas and Shrublands",Patagonian Steppe
46,Liolaemus robertmertensi,1.0,1.0,1.0,1.0,-28.063902000000002,-66.8233463333333,POINT (-66.8233463333333 -28.063902),Montane Grasslands and Shrublands,High Monte
47,Liolaemus rothi,0.901960784313726,0.8975044563279859,0.855614973262032,0.911764705882353,-39.8837683444976,-68.9584796315789,POINT (-68.9584796315789 -39.8837683444976),"Temperate Grasslands, Savannas and Shrublands",Low Monte
48,Liolaemus scapularis,1.0,1.0,1.0,1.0,-26.7977487407407,-66.3199806296296,POINT (-66.3199806296296 -26.7977487407407),Montane Grasslands and Shrublands,High Monte
49,Myrmecocystus depilis,0.545454545454545,0.657342657342657,0.615384615384615,0.566433566433566,27.43558792,-88.60575684,POINT (-88.60575684 27.43558792),,
50,Myrmecocystus romainei,0.635294117647059,0.7882352941176469,0.6235294117647061,0.8941176470588241,34.7102273548387,-112.172824666667,POINT (-112.172824666667 34.7102273548387),Deserts and Xeric Shrublands,Apache Highlands
